Round,Seat,Turn,Dora,Hand,Answer,ExplanationEng,ExplanationFr,Ukeire,Source
E1,W,7,7s,1234578m1155p67s5m,,"6 blocks, so one too many. Aim for a wide iishanten. If you get a triplet of 5p, you can get the hand below and transition into tanyao, so don't cut it. #12345578m155p67s#","6 blocs, un de trop. Le mieux est de viser l'iishanten le plus large. Avec un brelan de 5p, il est possible de transitionner en tanyao, à garder. #12345578m155p67s#",,handmade
E1,W,7,3p,34567m2388p5779s1p,7s,The tile acceptance doesn't change no matter which souzu is cut. Fix the ryankan to increase the chances of pinfu. #34567m12388p579s#,Les attentes ne changent pas peu importe le bambou jeté. Le mieux est de fixer le ryankan pour augmenter les chances de pinfu. #34567m12388p579s#,iishanten:[5sx19 7sx19 9sx19],301-Q-001
E1,W,7,3p,34567m2388p5779s4p,9s,Confirm tanyao to increase the value. You can also call and open the hand if the situation requires it. #34567m12388p577s#,Confirmer tanyao pour augmenter la valeur de la main. Possibilité d'appeler si nécéssaire. #34567m12388p577s#,iishanten:[5sx19 7sx19 9sx19] ,301-Q-002
E1,W,7,3p,34567m2388p5779s7s,5s,"The tile acceptance between 5s and 9s is the same. Keeping 5s lets you accept aka 5s, but you already have a 3-way wait on manzu and a 2-way wait on pinzu with dora. Fix 7s7s7s as a group and cut from the inside to keep the safer 9s for later.","L'acceptance entre 5s et 9ps est la même. Garder 5s permet d'accepter l'aka 5s, mais nous avons déjà un 3-way en manzu et un 2-way en pinzu avec dora. Il vaut mieux garder #777s# comme un groupe et couper depuis l'intérieur pour garder le 9s qui est plus safe pour plus tard.",iishanten:[5sx19 9sx19] ,301-Q-003
E1,E,6,1s,678889m40579p33s8p,5p,"By fixing the ryanmen you get a shape where it's easy to get pinfu. The shape on manzu accepts 3 types, 5m-8m, 7m.","En fixant le ryanmen on obtient une forme qui rend le pinfu facile d'accès. La forme en manzu accepte 3 types, 5m-8m, 7m.",iishanten:[5px18 9mx17 8mx15 6mx13 4px12],301-Q-004
E1,E,6,1s,678889m40579p11z8p,9m,"The 2 han from double ton are a lot. This way you'll always get tenpai waiting on ton, and you're only losing acceptance of 1 tile.","Les 2 hans du double ton jouent beaucoup. De cette manière, vous obtiendez toujours tenpai en attendant ton et vous ne perdez qu'une tuile d'acceptance.",iishanten:[5px18 9mx17 8mx15 6mx13 4px12],301-Q-005
E1,W,6,2m,33m223677888p40s6s,2p,"Choice is between 2p and 8p. Cutting 8p can give you iipekou and increase the value of the hand, but cutting 2p gives you 5 more tiles to wait on. Chance of iipeikou is simply not worth that much.","Le choix est entre 2p et 8p. Couper 8p peut donner iipekou et augmenter la valeur de la main, mais couper 2p donne 5 tuiles supplémentaires d'attente. Les chances d'iipekou ne valent pas autant.",iishanten:[2px24 8px19 3px18 7px17 6px14],301-Q-006
E1,E,7,7m,67m34556777p334s6p,4s,"Take out the completed shape 567p. You can see the sanmenchan with a 7p attached. Fixing the head in souzu is great both for value and acceptance, see: #67m345677p334s+567p#",,iishanten:[4px26 3px22 6px22 5px20 7px18 3sx16],301-Q-007
E1,E,7,7m,67m34556777p334s2p,5p,"The acceptance varies greatly depending on the presence of 2 heads. 3s is out because the loss in tile acceptance is too big. it becomes a choice between 5p and 4s, fixing the head on souzu or pinzu. 5p acceptance is better and you'll probably get tanyao anyway. If you need points, it's okay to cut 2p and confirm tanyao.",,iishanten:[5px26 4sx23 2px22 6px20 3sx16 7px11],301-Q-008
E1,W,6,2p,112m223677888p0s6s,2m,"Dora 3 2-shanten hand. Keep 3 heads so you can move to 2 at 1-shanten. You can also move towards tanyao. Cutting 8p isn't too bad (and probably easier to spot), but it's better not to touch the complex shape in pinzu until later.",,ryanshanten:[2mx43 8px43 3px39 6px38 1mx36 2px36],301-Q-009
E1,E,4,4z,223067m557p2345s6s,7p,"While you can see the 567 sanshoku, you can ignore it because of your good shape and value (thanks to akaand being dealer). Even if you were to draw 7s, your final shape to tsumo would be the 6p kanchan. Cut 7p.",,iishanten:[7px23 2mx19 3mx19 5px15],301-Q-010
E1,E,4,4z,223055677p2345s6s,7p,"While this can be hard at a first look, try to isolate 567p. #223057p23456s+567p# It's the same shape as in the previous question, just replacing manzu with pinzu. Taking out the completed shapes can help solve a problem.",,iishanten:[7px26 3px23 6px23 2px19 5px18],301-Q-011
E1,E,7,7p,556m13345678p22s3p,5m,"Don't cut the 1p to aim for tanyao. because you have 3 heads, you should should cut one of them. This way you can increase your tile acceptance. It is easy to visualize the 3 heads if you think as following: #556m133p22s+345678p#",,iishanten:[5mx22 1px20 6mx16 3px16],301-Q-012
E1,E,7,7z,66m123334p334s77z7z,3p,"Because you have 3 heads, it's fine to fix the ryanmen. Between 3p and 3s pairs, one 3p is already used in the 1p2p3p shape. Fix that ryanmen to get 1 more tile to wait on. Even if it's just 1 tile to draw, consider calls: pon is 4 times faster than tsumo, so you can't underestimate it.",,iishanten:[3px19 3sx18 2px17 3sx16 5px13],301-Q-013
E1,E,7,7z,66m233345p223s77z7z,2s,"Pinzu are waiting on 4 types (1p4p+3p6p), so leave it as it is. 2s looks easy to pon, but the difference in acceptance is too huge.",,iishanten:[2sx22 3px19 2px17 3sx16 5px13],301-Q-014
E1,E,7,8s,66m233345p223s88s8s,2p,"It is difficult to go for the best tile acceptance because you'd lose tanyao. By cutting 2p here you lose 3 tiles, but unless you tsumo the 1s, you have tanyao. If you consider the pon calls and their 4s speed, it is actually faster this way. Since you have hidden dora 3 you shouldn't care about the other players and attack.",,iishanten:[2sx22 3px19 2px17 3sx16 5px13],301-Q-015
E1,E,5,1s,778m222344p3067s2s,4p,"If you drop 8m, you'll have a iipeikou chance. But you'll need 3p to win the hand. Look at the future, and drop 4p to get the best tile acceptance. You'll get a sure ryanmen tenpai wait.",,iishanten:[4px26 3px22 6px22 5px20 7px18 3sx16],301-Q-016
E1,E,5,1s,778m222344p3067s3s,7m,"The correct answer is 7m, which gives the highest tile acceptance. You have 50% chance to get tanyao, but have the potential of mantanpin iipeikou aka. 8m and 4p reduce your win rate by being slower. Don't forget that modern mahjong is about making good-shape closed hand and call riichi. In oorasu agari toppu, you can discard 8m or 4p and call everything, but this is not the right play in early East 1.",,iishanten:[7mx20 4px17 2px15 8mx14 3px14],301-Q-017
E1,E,5,1s,345m233444p0667s4m,3p,"The bulging shapes always produces ryanmen, so the theory says to fix the head. Between 2p and 3p, the correct answer is 3p to get pinfu.",,iishanten:[3px37 2px34 4mx30 6sx30 4px11],301-Q-018
E1,E,8,4z,345688m0667p456s6s,6s,"You should see 8m as the head. You're left with 3m4m5m6m nobetan, 0p6p6p7p bulging and 4s5s6s6s aryanmen. The first 2 can accept 4 kinds of tiles, while the latter can accept only 2. Cut the aryanmen by dropping 6s. ""When in doubt, cut aryanmen""",,iishanten:[6px46 6sx42 3mx38 6mx38 8mx12],301-Q-019
E1,E,7,4z,3445m335678p567s8s,8p,"You want to keep the manzu shape for tanyao. The question is from where to cut, the pinzu or the souzu. It is generally better not to mess with the head, so the answer is 8p (you gain 4 tiles). Also the final shape of the hand is better: You can end up with a full sanmenchan, while you'd end up with a worse accptance on pinzu (2x3p are already used). Both the acceptance now and in tenpai are better with the 8p cut.",,iishanten:[4mx46 5px42 8px42 5sx38 8sx38 3px12],301-Q-020
E1,E,7,4z,3445m335678p234s5s,2s,"It is easy to miss, but you can see the 3s4s5s sanshoku (if you don't, read flow book 1 by Sakurai). Keep the bulging shape and foresee the draw of 3p-4p.",,iishanten:[4mx46 5px42 8px42 2sx38 5sx38 3px12],301-Q-021
E1,W,7,4z,3405999m556p567s8s,5m,"When in doubt, cut aryanmen. The yonrenkei (4 tiles shape) in souzu can make a head out of 2 types and a ryanmen out of 4 types. 5p5p6p is a shape that can be either a head or a sequence.",,iishanten:[6px46 5mx41 5sx37 8sx37 5px20],301-Q-022
E1,W,7,4z,44789m0678p4066s0m,6s,"In the early turns you'd drop 4m, tu utilize all the aka dora. As it already is the 7th turn, losing 20 tiles acceptance is too much. Thinking of the final form and the speed, the best choice is 6s, both for win rate and value.",,iishanten:[0mx46 6sx40 5px36 8px36 4mx20],301-Q-023
E1,W,7,4z,344067m3456p406s3s,6s,"The best tile to get a fast tenpai is 3m, but if you look at the winrate it becomes inferior to 3p6p and 3s6s. Keep the manzu shape. I t is slightly better to keep the pinzu as they don't have the aka 0p. Moreover, you must not forget that there is a possibility of 345 sanshoku. Even by a small amount, 6s gives the best expected value. By the way, even without sanshoku, cutting 3m wouldn't be the best choice.",,iishanten:[3mx58 3px51 6px51 3sx51 6sx51 4mx23],301-Q-024
E1,E,7,4z,5678m3456p78899s9s,8s,"Is is easy to get a pinfu tenpai. You lose the iipeikou, but its final shape would need a bad wait 7s, losing pinfu. Don't aim for iipeikou at the edges, unless you really need the han.",,iishanten:[7sx49 6sx46 1px42 5mx38 8mx38 8sx19],301-Q-025
E1,E,7,4z,5678m1234p67788s8s,1p,"The 1234p shape at the edge is functionally a sequence + a floating tile, it is difficult to use. In particular I don't want to end with a penchan 1p2p, if I were to draw a 2p.",,iishanten:[7sx49 6sx46 1px42 5mx38 8mx38 8sx19],301-Q-026
E1,E,7,4z,5678m2345p56677s7s,8m,"The souzu make a beautiful shape. Don't touch it, as it can become 2 sequences or 1 sequence + 1 head. 5m8m and 2p5p are equivalent from both tenpai and win rates, but you can see the 567 sanshoku (drawing 6p or 7p), so cutting 8m is the better choice.",,iishanten:[6sx53 5sx50 5mx42 8mx42 2px42 7sx19],301-Q-027
E1,W,7,4z,678m2344p233567s8s,2s,"Fixing 3s as head is best both for tile acceptance and value. The best form for the tenpai can be mentapin iipeikou. Depending on how you view it, you can see both 2s and 5s as floating. There's no point in keeping both, as they're on the same suji.",,iishanten:[2sx42 8sx33 4px29 3sx23 3px8],301-Q-028
E1,W,7,4z,789m1123p233567s8s,1p,"1p1p2p3p edge aryanmen, can become sequence+head or iipeikou (with kanchan or penchan wait). Both outcomes are equally likely. If you end up with a bad wait iipeikou, the winrate is going to decrease, so the aim is to avoid the bad shape tenpai by cutting 1p.",,iishanten:[2sx34 1px29 8sx25 3sx23 3px8],301-Q-029
E1,W,7,4z,789m1123p235677s8s,1p,"If you cut 2s, you'll have a ryanmen+kanchan waiting on 4s6s9s, and the edge 1p1p2p3p aryanmen. Bottleneck will be the 6 tiles aryanmen wait. Instead of going there, let's drop 1p and get full ryanmen.",,iishanten:[1px29 7sx23 2sx22 3sx16 8sx16 3px15],301-Q-030
E1,E,5,4z,5678m224567p677s7s,8m,Going for sanshoku gives the best expected value. it's easy to see if you draw the 3p.,,iishanten:[6sx50 5mx42 8mx42 4px42 7px42 2px21],301-Q-031
E1,E,5,4z,5678m224567p777s8s,8s,"It's difficult to make another sequence near the triplet. The goal is to make a wide wait, taking advantage of the 2 yonrenkei. Keeping 8s makes it easy to lose tanyao and it isn't needed for sanshoku either.",,iishanten:[8sx50 5mx38 8mx38 4px38 7px38 2px21],301-Q-032
E1,E,5,4z,4567m335678p688s8s,8p,"It is easy to get tanyao, and keeping 6s lets you utilize aka 5s and maybe get sanshoku. Fixing 3p as head is the correct answer.",,iishanten:[6sx50 5px46 8px46 4mx38 7mx38 3px17],301-Q-033